seq,verdict,task_name,question_id,critic_fail_types,critic_passed,reject_count,stem_preview,reason_preview
1,misjudge,上海-新房总监-100题-631-考试占比-20260331-1522#p1,sh:v20260320_021958:1:51:c0425898,quality_fail,False,3,作为一名房地产经纪人，在为客户提供房屋改造建议前，需要准确判断墙体类型。以下关于区分承重墙与非承重墙方法的说法中，正确的有（　）。,题目内容完全符合当前切片知识点，未超纲，对经纪人房屋改造建议前的墙体判断工作有直接帮助。逻辑自洽，可反向解题得到唯一答案ABCD。解析格式规范、内容正确。主要问题在于选项D的表述存在绝对化倾向，教材原文对部位判断的描述使用了“一般”一词，表明存在例外情况，而选项D的“通常是”在多选题全选正确的语境下，可能被误解为绝对正确的规则，遗漏了关键的限制条件。根据“规则要素缺失或绝对化”的Fail条件，判定审计不通过。
2,true_issue,最小化模板测试_151831,sh:v20260320_021958:1:51:cfe6a7e4,quality_fail|explanation_fail,,3,客户准备将卫生间外侧、与过道相邻的一段墙体拆除做干湿分离。经纪人现场测得该墙厚度约10厘米，敲击时有较大清脆回声，且该墙位于房屋内部、不与邻居共用。基于这些信息，经纪人更应判断该墙体性质为（　）。,题目本身审计通过：1. 适纲性：考点完全来自当前切片“承重墙和非承重墙”的区分方法，对经纪人现场判断墙体性质有直接实操帮助。2. 逻辑自洽：题干给出的厚度、声音、部位条件均指向非承重墙，且与正确选项B逻辑一致。3. 反向解题：考生可根据题干条件（10厘米、清脆回声、内部非共用、卫生间过道相邻）直接调用教材中厚度、声音、部位三条规则，唯一推导出B选项，无需猜测。4. 质量把关：题干未直给答案，选项同维度（均为墙体性质/部位描述），干扰项C
3,true_issue,最小化模板测试_151831,sh:v20260320_021958:4:274:0185d139,quality_fail,False,3,上海链家为全面评估服务水平，定义了“问题发生率”指标。该指标统计的问题来源于7个特定渠道，且同一个问题若在多个渠道曝光或发生先投诉再赔付等情况，会被重复记录。若某经纪人在2025年全年累计收到消费者反馈问题共计21290个，那么这21290个问题在问题发生率指标中代表的是（　）。,题目考查的知识点严格基于当前切片，逻辑自洽，可反向解题。然而，题目存在严重的质量问题：题干几乎完全复制了教材原文的关键信息（“21290个问题”和“即公司问题发生率的分子”），导致正确答案A被直接“喂”给考生，无需任何业务知识或思考即可作答。这违反了质量把关中关于“题目傻瓜化直给答案”的核心拦截规则，对经纪人工作无实质性帮助。因此，审计不通过。
4,misjudge,最小化模板测试_151831,sh:v20260320_021958:6:185:7b434e71,,True,1,客户王先生通过经纪人小李购买了一套新房，在签约后，小李主动提出可以协助王先生完成后续的一些交易手续。根据房地产经纪服务的分类，下列哪一项属于小李可以提供的房地产经纪延伸服务（交易保障服务）（　）。,
5,true_issue,上海-新房总监-100题-631-考试占比-20260327-1821#resume103_105_r1,sh:v20260320_021958:1:345:b670853f,reverse_solve_fail|grounding_fail|quality_fail|explanation_fail,False,2,某大区运营总经理第一季度各月分润分别为10万元、12万元、8万元。该季度市占目标达成率(X)为110%，市占率绝对值(Y)为15%；大区报盘率季度增幅(X)为8%，报盘率绝对值(Y)为20%；绿金品质指数(q)为85。  根据教材中运营总经理季度分润的考核规则，市占考核系数S、报盘激励系数Z、绿金扣分系数Q的取值规则如,"1. **反向解题失败**：根据题干给出的所有条件（月度分润、各指标数值、系数对应表）和公式，可以唯一推导出季度分润为2.7万元。但四个选项（6.3, 9.0, 9.9, 10.8）中均无此值，导致考生无法依据题干和规则选出正确答案。这属于“无法计算（缺关键数值/条件）”的变体——计算结果不在选项中。 2. **解析与事实不符**：解析声称答案为C（9.9万元），但根据题干规则计算出的正确结果是2.7万元，解析严重错误。 3. **质量"
6,uncertain,上海-新房总监-100题-631-考试占比-20260327-1818#resume1_3_r1,sh:v20260320_021958:1:215:ea42ae1b,reverse_solve_fail|grounding_fail|quality_fail|code_check_fail|explanation_fail,False,2,客户王明（男性，50周岁）与妻子张莉（女性，48周岁）均正常缴存公积金，计划通过组合贷款购买一套新建商品住宅。若以王明为主贷人申请公积金贷款，则该笔公积金贷款可申请的最高贷款年限为（　）。,审计不通过。核心问题在于反向解题失败：题干场景（新建商品住宅、组合贷款、主贷人年龄）可触发两条教材规则路径，导致答案不唯一。路径A（当前切片）：按年龄计算（68-50=18年）与新房上限30年孰低，得18年。路径B（“三、公积金贷款政策”切片）：该切片表格明确“最长贷款年限”为30年（适用于首套、二套），且未提及年龄计算；题干未说明是首套还是二套，但无论哪种，表格显示最长贷款年限均为30年。题干未提供任何信息（如贷款套数、政策适用优先级
7,true_issue,上海-新房总监-100题-631-考试占比-20260327-1821#resume98_100_r2#resume4_6_r1,sh:v20260320_021958:2:5:95b92788,quality_fail,False,1,某套房屋的挂牌价为468万元，成交价为450万元，该房屋的价差率是（　）。,1. 适纲性/对工作有帮助/导向性：通过。题目考查当前切片知识点“价差率”的计算，该指标用于分析市场周期，对经纪人判断市场热度有实际帮助。2. 地理与范围审计：通过。无地域限制。3. 逻辑自洽性审计：通过。条件与结论一致。4. 反向解题：通过。题干已给出计算所需全部数值（挂牌价、成交价），且公式在当前切片中明确给出，可唯一推导出答案。5. 质量把关：通过。题干未直给答案，需要调用公式计算；干扰项设计合理，对应常见误算路径。6. 题干/设
8,misjudge,上海-新房总监-100题-631-考试占比-20260327-1821#resume98_100_r1#resume3_5_r1,sh:v20260320_021958:1:347:07ac3765,,True,1,在运营总经理的管理实践中，攀登指数是一个重要的综合性评价指标。以下关于攀登指数应用范围的描述中，正确的有（　）。,
9,uncertain,上海-新房总监-100题-631-考试占比-20260330-1044#resume7_9_r1,sh:v20260320_021958:2:332:14ae56e9,reverse_solve_fail|grounding_fail|quality_fail|explanation_fail|writer_issue,False,2,你作为上海链家新房经纪人，正在为一位有置换需求的客户王先生提供咨询服务。王先生在上海有一套老房子，想卖掉后置换一套新房，并希望了解链家能提供哪些服务来帮助他。在向王先生介绍公司2026年战略升级后的服务能力时，以下哪些关于具体服务举措的描述是准确且符合公司战略方向的（　）。,审计不通过。核心问题：1. 【反向解题失败】题干要求判断哪些‘具体服务举措’准确且符合公司战略方向，但教材当前切片仅提供宏观战略目标，未提供将这些目标转化为上海链家新房经纪人可执行、可向客户承诺的具体服务举措的规则。考生无法在不进行主观猜测（猜测战略如何落地）的情况下，唯一确定所有选项（ABCD）都准确。这违反了‘需要考生猜规则’的Fail条件。2. 【适纲性/对工作有帮助/导向性 Fail】题目考查点（记忆战略口号与业务动作的对应）对
10,misjudge,上海-新房总监-100题-631-考试占比-20260330-1044#resume5_7_r1#resume3_5_r1,sh:v20260320_021958:1:4:cae062d0,,True,1,客户王明计划购买一套期房，经纪人李华在分析当前市场环境时，需要向客户解释影响房地产市场周期波动的因素。以下关于这些因素的表述中，正确的有（　）。,
11,misjudge,上海-新房总监-100题-631-考试占比-20260330-1716#resume11_13_r1,sh:v20260320_021958:1:191:862a995f,reverse_solve_fail,False,2,客户张明为沪籍，家庭名下在沪无住房。其配偶在2010年（限购前）与父母共同登记在产证上的住房共有3套，且均无商业贷款在还。张明家庭不属于多子女家庭。若张明申请个人住房商业贷款，其首套认定结果为（　）。,审计不通过。核心问题在于【反向解题】失败。题干条件“张明为沪籍，家庭名下在沪无住房。其配偶在2010年（限购前）与父母共同登记在产证上的住房共有3套，且均无商业贷款在还。张明家庭不属于多子女家庭。”虽然给出了“非多子女家庭”，但教材切片中“沪籍或非沪籍外地多子女家庭纯商业贷款首套认定标准：不限购的情况下，家庭名下有0套或者1套首套商贷在还。”这条规则并未明确其适用范围仅限于“外地多子女家庭”。题干中“张明为沪籍”与“沪籍或非沪籍外地多子
12,misjudge,上海-新房总监-100题-631-考试占比-验证-20260330-2#resume1_3_r1,sh:v20260320_021958:1:346:c9bbad4c,,True,1,根据攀登指数计算公式（5*规模+3*效率+2*能力），联动业务线的“能力”指标定义为联动综合能力，其中二手带看含新率占1/2，季度分行破蛋率占1/2。（　）,
13,true_issue,上海-新房总监-100题-631-考试占比-验证-20260330-1#resume1_3_r1,sh:v20260320_021958:1:41:0de3ef4a,reverse_solve_fail|grounding_fail|quality_fail|explanation_fail,False,2,客户张明在购房时了解到，某新建住宅项目已全部建成并通过竣工验收，可以立即交付使用。经纪人王强向张明介绍，这类房屋属于现房。现房相比期房，在同等情况下通常价格更高、风险指数更低、选择空间更小。若张明购买一套总价200万元的现房，按“现房价格通常比同等条件的期房高10%”估算，则同等条件的期房总价约为（　）。,1. 反向解题失败：题干中“现房价格通常比同等条件的期房高10%”这一关键计算前提在教材中不存在。当前切片表格仅定性描述“房屋价格：低（同等情况下）/中（同等情况下）/高（同等情况下）”，未提供任何具体百分比数值。考生无法从教材中推导出10%这个比例，必须依赖题干“给定”的虚构规则才能计算，这违反了反向解题原则。2. 解析无效：解析错误声称教材原文支持10%的比例，存在事实错误。3. 质量检查不通过：题目引入教材未给出的具体数值，对经纪
14,true_issue,上海-新房总监-100题-631-考试占比-验证-20260330-4#resume1_3_r1,sh:v20260320_021958:1:48:1f681c74,calculation_target_mismatch,False,3,关于叠拼别墅的建筑形式特征，下列描述正确的是（　）。,计算题设问目标发生语义漂移（期望: 一套叠拼别墅的房产证上记载的建筑面积为150平方米其上层住户拥有一个面积为20平方米的露台该套房屋的实际可使用面积不含露台为，当前签名: 关于叠拼别墅的建筑形式特征下列描述正确的是，原因: 当前题干询问的是叠拼别墅的建筑形式特征，而期望设问目标关注的是房屋实际可使用面积的计算，两者涉及的计算对象完全不同。）
15,true_issue,上海-新房总监-100题-631-考试占比-验证-20260330-8#resume1_3_r1,sh:v20260320_021958:1:274:6b8c8335,reverse_solve_fail|quality_fail,False,3,上海链家为全面评估服务水平，定义了“问题发生率”指标。经纪人小王在查看公司服务报告时，发现该指标的计算涉及一个关键数据：公司统计了2025年全年通过所有指定渠道收集到的消费者反馈问题总数。根据公司对“问题发生率”的统计口径，这个作为分子的总数是（　）。,审计不通过。主要问题：1. 题目傻瓜化直给答案：题干场景与教材原文高度一致，正确选项是教材中直接给出的唯一数值，考生无需业务理解即可作答，违反了质量把关规则。2. 干扰项质量低：所有错误选项均为对正确答案进行简单算术运算得出的随机数字，没有体现对知识点的易错点考察。根据审计铁律，命中任意Fail条件即判定不通过。
16,misjudge,上海-新房总监-100题-631-考试占比-验证-20260330-7#resume1_3_r1,sh:v20260320_021958:1:308:3400b1de,,True,2,根据信用分规则，在2024年7月10日核算经纪人张明的累计信用分扣减时，若其有一笔违规扣分发生在2023年7月9日（距当前日期已超过一个顺延年约365天），这笔扣分仍应计入本次累计扣减分数（　）,
17,misjudge,上海-新房总监-100题-631-考试占比-验证-20260330-9#resume1_3_r1,sh:v20260320_021958:1:332:f45a26d8,,True,1,你作为上海链家新房经纪人，正在为一位考虑置换的客户王先生提供咨询服务。王先生想卖掉现有住房，并用售房款加上部分积蓄购买一套改善型新房。你向他介绍公司2026年重点推动的“焕新+”业务模式，并说明该模式如何与公司战略相结合。以下关于“焕新之战”战略目标的描述，符合公司2026年战略要求的是（　）。,
18,true_issue,上海-新房总监-100题-631-考试占比-验证-20260330-9#resume1_3_r1,sh:v20260320_021958:2:347:6b063b6e,quality_fail,False,1,在运营总经理的考核与评价管理中，攀登指数会被应用于以下哪些具体场景（　）。,1. **适纲性与反向解题**：题目完全基于当前切片知识，题干已触发到唯一教材规则，可唯一确定答案为ABCD。2. **质量把关（核心拦截项）**：题目存在“直给答案效应”。题干设问“攀登指数会被应用于以下哪些具体场景”，而四个选项A、B、C、D的文字与教材原文列出的四项应用范围（运营总经理底线考核、年度PSU激励、升降级、竞聘）几乎完全一致。考生无需任何业务知识或理解，仅通过比对题干“具体场景”与选项文字，即可直接锁定全部正确选项，题
19,misjudge,模板题量约束验证-20260331-1#p4,sh:v20260320_021958:1:4:18aa3fe2,,True,1,以下关于房地产市场周期波动影响因素的表述中，正确的有（　）。,
20,misjudge,模板题量约束验证-20260331-1#p4,sh:v20260320_021958:2:40:21f9b93d,,True,1,一套商品住宅于2015年竣工，一直空置未使用。2025年，业主打算出售此房。根据房龄计算规则，该套住宅属于（　）。,
21,true_issue,模板题量约束验证-20260331-1#p4,sh:v20260320_021958:3:345:c9e982c5,reverse_solve_fail|quality_fail|code_check_fail,,3,某运营总经理第一季度各月月度分润分别为10万元、12万元、8万元。该季度其大区市占目标达成率为110%，市占率绝对值为12%；报盘率季度增幅为8%，报盘率绝对值为15%；绿金品质指数为85。已知教材中对各系数的取值规则如下： - 市占考核系数S：市占目标达成率≥110%时，系数为1.0；市占率绝对值≥12%时，系数为1,审计不通过。核心问题在于【反向解题失败】。教材规则（当前切片）明确要求系数S、Z、Q的取值需依据“具体对应如下表”。题干虽然给出了各指标的数值（如市占目标达成率110%），但并未提供这些数值与系数之间的映射关系表。相反，题干直接以“已知本题系数取值规则如下”的形式给出了系数值（如110%对应1.0）。这使得考生无需调用教材中的表格规则，仅凭题干给出的“已知规则”即可完成计算，题目变成了简单的算术题，失去了考查对教材规则（表格）掌握程度的
22,true_issue,模板题量约束验证-20260331-1#p4,sh:v20260320_021958:4:344:d96f347a,reverse_solve_fail|quality_fail|code_check_fail,False,4,某运营总经理第一季度1月、2月、3月的月度分润分别为10000元、12000元、8000元。已知其市占考核系数S为0.8，报盘激励系数Z为0.3，绿金扣分系数Q为-0.1。根据季度分润计算公式，该运营总经理第一季度的季度分润为金额（元）（　）。,审计不通过。原因：1. 【选项规范审计Fail】选项A、B、C、D均包含单位“元”，违反了“选项中有单位时，必须将单位提到题干中”的规则。2. 【选项逻辑（干扰项审计）Fail】数值型干扰项B(7200)和C(7800)缺乏可解释的合理错误推导路径，更像是随机数字，不符合“优质干扰项应考察易错点”的要求。3. 【反向解题】虽然根据题干条件和教材公式可唯一计算出答案9000元（对应D），但上述质量问题已触发Fail条件，必须判定为审计不通
23,misjudge,模板题量约束验证-20260331-1#p3,sh:v20260320_021958:1:347:47df9102,,True,2,在干部指数考核规则中，攀登指数用于评价运营总经理后，将直接应用于以下哪一项管理场景（　）。,
24,uncertain,模板题量约束验证-20260331-1#p3,sh:v20260320_021958:2:211:27d59a8c,reverse_solve_fail,False,4,客户张明（男，35岁）与妻子李芳（女，33岁）均为上海在职职工，已连续缴存公积金超过6个月。他们家庭名下在沪无住房，但张明婚前曾与父母共有一套住房，登记在三人名下。张明家庭在全国范围内有过1次公积金贷款记录，该贷款已结清，目前公积金未在使用。经查询，张明与李芳的个人征信报告均无连续6期或累计12期以上的逾期记录，且目前,审计不通过。核心问题在于反向解题失败。虽然从表面条件看，张明家庭符合当前切片中首套房的描述（在沪无住房、全国1次贷款记录、公积金未使用），且婚前与父母共有的房产似乎可被‘剔除’。但切片规则中对‘剔除’条件的表述——‘在婚前借款人及其配偶与各自父母登记在产证上的最多各有1套可以剔除’——存在解释空间。‘登记在产证上’是否明确包含‘与父母共有’？‘各有1套’的‘各’是指借款人个人还是借款人及其配偶各自？题干中‘登记在三人名下’是典型的共有情
25,misjudge,模板题量约束验证-20260331-1#p3,sh:v20260320_021958:3:210:05fafcf5,,True,1,根据现行公积金贷款政策，购买第二套住房，若该住房位于上海市嘉定、青浦、松江、奉贤、宝山、金山6个行政区全域或临港新片区，其最低首付比例为（　）。,
26,misjudge,模板题量约束验证-20260331-1#p3,sh:v20260320_021958:4:210:112426f2,,True,1,根据公积金贷款政策，购买二套住房时，若房屋位于临港新片区或嘉定、青浦、松江、奉贤、宝山、金山这6个行政区全域，适用的最低首付比例为（　）。,
27,true_issue,模板题量约束验证-20260331-1#p3,sh:v20260320_021958:5:202:60c1f7cc,reverse_solve_fail|grounding_fail|quality_fail|explanation_fail,,2,客户王强，上海户籍，已婚，育有一名5岁未成年子女，与配偶共同购买一套位于外环内的新房，总价500万元，首付款200万元，申请商业贷款300万元。根据商业贷款面签备件要求，经纪人需要提醒王强准备以下哪些材料（　）。,审计不通过。核心问题：题干选项与解析答案存在致命矛盾。题干仅列出A、B、C、D四个选项，但解析声称答案为ABCDE，并详细解析了选项E（未成年子女出生证及户口簿复印件）。根据当前切片规则，选项E确实是必要备件，但题干未提供此选项，导致考生无法选择正确答案，题目无法成立。这违反了【典型错题审计】中“题干与选项/解析前后不一致”的Fail条件。此外，这也导致【反向解题】失败，因为考生无法从题干选项中得到唯一且确定的答案（正确选项E缺失）。必
28,misjudge,模板题量约束验证-20260331-1#p3,sh:v20260320_021958:6:195:05b21fcc,,True,1,客户张明计划申请一笔商业贷款，名下已有其他贷款，每月总还款额为8000元。根据商业贷款收入证明的要求，以下关于张明收入证明金额的说法正确的有（　）。,
29,true_issue,模板题量约束验证-20260331-1#p3,sh:v20260320_021958:9:194:79e57901,reverse_solve_fail|quality_fail|code_check_fail,False,4,客户王明申请商业贷款购买一套住宅，房屋正常评估价为200万元，贷款成数为65%。王明家庭名下无其他负债，其收入证明显示月收入为8000元。若该笔商业贷款采用等额本息还款方式，贷款期限为30年，年利率为4.5%（月利率为0.375%）。已知等额本息月供计算公式为：月供 = 贷款本金 × [月利率 × (1+月利率)^期数,审计不通过。原因：1. 【选项逻辑审计 Fail】选项C“月供约为4000元”与题干已设定的计算条件（有明确公式和参数）完全矛盾，是一个无效干扰项，违反了干扰项应“似是而非、可解释”的质量要求。2. 【选项规范审计 Fail】选项C和D包含单位“元”，但题干未将单位提前。3. 【质量把关审计 Fail】题干隐含的计算（等额本息月供）过于复杂，依赖计算器，且未明确保留位数，不符合简算优先原则。虽然题目考查的规则（收入与月供比例）适纲，推导
30,misjudge,模板题量约束验证-20260331-1#p3,sh:v20260320_021958:10:193:6aa1d167,,True,2,根据商业贷款资格认定规则，家庭负债通过征信报告认定，征信报告没有体现的负债一般不会认定。客户张明家庭月收入为18000元，其征信报告显示每月需偿还的现有贷款（车贷）为2000元。银行以收入证明作为家庭收入认定依据，以征信报告作为家庭负债认定依据。以下关于张明家庭收入与负债倍数关系的说法中，正确的有（　）。,
