seq,verdict,task_name,question_id,critic_fail_types,critic_passed,reject_count,stem_preview,reason_preview
69,misjudge,模板题量约束验证-20260331-1#p1,sh:v20260320_021958:18:355:46e08175,quality_fail|writer_issue,True,4,上海链家某大区运营总计划组织一次为期3天的外出团建，以提升团队战斗力。他已在团建开始前，通过邮件向所属事业部总经理报备并获得审批同意。该大区在上一周期（2月至7月）未组织过外出团建。根据公司规定，该大区本次团建计划符合外出团建的管理要求。（　）,1. 适纲性/导向性：题目综合考查外出团建的管理要求，涉及界定、频次、时长、审批等核心规则，对干部工作有直接指导意义，符合公司合规要求。未超纲，未涉及无帮助的死记硬背或概念辨析。 2. 地理与范围：教材未限定具体城市，题干出现“上海链家”不冲突。 3. 逻辑自洽：题干条件推导出的结论与正确答案（正确）一致。 4. 反向解题：考生可根据题干给出的“大区”、“3天”、“外出团建”、“上一周期未组织”、“已报备审批”等条件，唯一触发并应用教材
70,true_issue,模板题量约束验证-20260331-1#p1,sh:v20260320_021958:19:355:f6aa8e01,reverse_solve_fail|missing_preconditions,False,3,一次活动持续3天，并在考勤系统中以‘团建’事由提交了外勤申请。根据公司外出团建管理规定，这次活动属于外出团建吗（　）。,题干未明确本次活动的组织层级，而选项B、C、D的判定依据均与层级相关，导致无法稳定判断这些选项是否正确，从而无法稳定选出唯一正确答案。；缺失：本次活动的组织层级（事业部/大区/分行）
71,misjudge,模板题量约束验证-20260331-1#p1,sh:v20260320_021958:20:353:abe9672c,,True,1,你是上海链家新房事业部联动业务线的联动总监。为促进团队融合，你计划使用月度常规团建费组织一次团队聚餐。根据公司规定，你每月可用于此类常规团建的经费标准及发放形式是（　）。,
72,misjudge,模板题量约束验证-20260331-1#p1,sh:v20260320_021958:21:193:8514d3bc,,True,1,根据商业贷款资格认定规则，关于借款人家庭收入、负债与征信要求，下列说法正确的有（　）。,
73,misjudge,模板题量约束验证-20260331-1#p1,sh:v20260320_021958:26:228:d37cf750,,True,2,客户王明申请了组合贷款：公积金贷款80万元、商业贷款40万元，期限20年。其公积金账户余额15万元。若他选择年冲方式，并在当年4月办理年冲，关于冲还贷后月还款额变化及后续还款资金安排，正确的是（　）。,
74,misjudge,模板题量约束验证-20260331-1#p1,sh:v20260320_021958:27:352:b303b65d,generation_mode,False,3,根据2026年Q1述职管理规则，链家新房运营总经理的季度述职内容应聚焦于其核心业务管理职责的履行情况。（　）,筛选条件不符合：当前为【实战应用/推演】，题干未满足业务场景语义判定（语义判定: 题干仅复述述职规则中对述职内容聚焦方向的要求，属于抽象管理规则描述，未涉及具体可执行业务情境。）
75,uncertain,上海-新房总监-100题-631-考试占比-验证-20260330-10#p4,sh:v20260320_021958:1:213:9b2322fe,reverse_solve_fail|grounding_fail|quality_fail|explanation_fail,False,4,客户王明，已婚，家庭名下在沪无住房，全国范围内无公积金贷款记录，目前公积金未在使用。王明看中一套位于嘉定区的居住性质公寓，总价300万元，计划申请公积金贷款。经纪人李娜需要判断该房屋是否可以使用公积金贷款，并计算其家庭最高可申请的公积金贷款额度。以下说法正确的是（　）。,审计不通过。主要问题：1. 反向解题失败：题干仅给出家庭在沪无住房、全国无贷款记录、公积金未在使用，但根据教材“四、公积金贷款套数认定标准”，首套认定还需考虑“全国范围内公积金贷款使用过0次或1次”（题干已满足）和“婚前与父母共有房产可剔除”等例外，题干未明确排除这些例外，且额度计算规则（切片七）要求考虑“当地政策规定”和“参与申请人数”取最低值，题干未给出参与人数、是否多子女家庭、是否绿色建筑等条件，导致无法唯一确定家庭最高额度为24
76,true_issue,上海-新房总监-100题-631-考试占比-验证-20260330-10#p4,sh:v20260320_021958:2:210:63189be0,reverse_solve_fail|answer_mismatch|grounding_fail|quality_fail|explanation_fail|writer_issue,,3,客户张伟，35周岁，已婚，家庭名下在沪已有1套住房，全国范围内无公积金贷款记录，计划通过公积金贷款购买一套位于嘉定区的新建商品住宅，贷款年限计划为20年。根据当前公积金贷款政策，张伟家庭本次公积金贷款适用的最低首付比例为（　）。,审计不通过。核心问题是【反向解题失败】。题干明确将房屋套数口径设定为“二套（贷款所购住房除以上区域）”，这直接定位到教材政策表的第三行。但同时，题干给出的客户条件（在沪无住房、全国无公积金贷款记录）完全符合教材“四、公积金贷款套数认定标准”中“首套房”的定义。这导致考生面临两条合理路径：1. 严格按照题干设定口径（二套）答题；2. 根据客户条件自行判断为“首套”答题。两条路径得出的答案集不同（路径一：C、D；路径二：A、B、C）。题干内
77,uncertain,上海-新房总监-100题-631-考试占比-验证-20260330-10#p4,sh:v20260320_021958:4:202:5208cc18,reverse_solve_fail|answer_mismatch|grounding_fail|quality_fail|explanation_fail,False,3,客户王明（35岁）与配偶李芳（33岁）均为外地户籍，婚姻状况为已婚，且无未成年子女。两人计划通过商业贷款购买一套位于上海外环内的新房。经纪人提醒客户准备银行面签备件时，必须包含以下哪些材料（　）。,题目存在严重逻辑缺陷。题干要求选择“必须包含”的材料，但根据当前切片规则，选项B（个税单）并非“必须”项，而是“视情况而定”。这导致反向解题失败，考生无法基于教材规则唯一确定答案。同时，解析未正确引用教材关键说明，存在误导。因此，审计不通过。
78,misjudge,上海-新房总监-100题-631-考试占比-验证-20260330-10#p4,sh:v20260320_021958:5:195:e0d8a652,,True,2,客户张明计划申请商业贷款购买一套住宅，其家庭名下现有两笔贷款：一笔车贷月供2000元，一笔信用贷款月供1500元。银行要求收入证明的月收入至少达到总负债月还款的2倍。张明开具的收入证明月收入为8000元。下列关于“月收入是否满足2倍要求”的说法中，正确的有（　）。,
79,misjudge,上海-新房总监-100题-631-考试占比-验证-20260330-10#p4,sh:v20260320_021958:8:194:8dbf4e06,,True,2,客户王明申请商业贷款，其家庭月收入为15000元，名下已有房贷月供4000元、车贷月供2000元，拟申请的新房贷月供为5000元。根据中国银行业监督管理委员会要求，下列判断中正确的是（　）。,
80,misjudge,上海-新房总监-100题-631-考试占比-验证-20260330-10#p4,sh:v20260320_021958:9:332:84fa8aea,,True,2,在门店晨会上，经纪人需要用一句话把2026年“十大战役”的某一项升级方向讲清楚。若这句话强调“要把战略盘做爆破，并对滞销盘给出解题方法”，对应的战役是（　）。,
81,uncertain,上海-新房总监-100题-631-考试占比-验证-20260330-10#p4,sh:v20260320_021958:10:275:da3da6f9,quality_fail|writer_issue,True,4,经纪人小王在准备参加公司重要会议时，需要按照男士6S标准着装。以下关于其着装要求的说法中，正确的有（　）。,题目考查内容严格限定在当前切片范围内，题干场景清晰，可反向解题得到唯一答案，解析正确且符合三段式。然而，根据质量把关规则，题目选项未能覆盖路由焦点契约中指定的全部关键变量（司徽佩戴条件、皮鞋颜色），导致无法完整判定“规则判定”这一主任务，属于质量问题。因此，审计不通过。
82,uncertain,上海-新房总监-100题-631-考试占比-验证-20260330-10#p4,sh:v20260320_021958:11:275:c2a9ad2b,reverse_solve_fail|grounding_fail|quality_fail|explanation_fail|writer_issue,False,4,经纪人王强在夏季工作日接待客户。他穿着纯白色长袖衬衫（无任何图案），系着链家领带并佩戴工牌，下身是深蓝色纯色西裤，上身仅穿一件深蓝色纯色西装马甲，未穿西装上衣（西服外套），也未佩戴司徽。根据男士6S标准着装要求，以下判断正确的是（　）。,审计不通过。核心问题在于反向解题失败。题干设问要求判断王强的着装‘符合男士6S标准’，而教材规则明确要求从头部、衬衫、配饰、西装、鞋袜五个方面进行综合判定。题干遗漏了‘头部’（发长、发色）和‘鞋袜’的全部信息，导致考生无法依据题干触发完整的规则进行唯一判定。选项A声称‘整体着装符合……标准’，在信息缺失的情况下，该结论无法被唯一推导。解析也未能指出此信息缺失问题，直接判定A正确，存在逻辑缺陷。根据审计铁律，推导路径因条件缺失而无法完成，
83,true_issue,上海-新房总监-100题-631-考试占比-验证-20260330-10#p4,sh:v20260320_021958:14:332:5c91f54b,quality_fail,False,3,在链家向“全产业链综合服务商”转型的过程中，公司落地了一系列业务动作。以下哪些属于为实现该战略定位而采取的具体业务举措（　）。,题目内容完全基于当前切片，适纲性强，对理解公司战略转型有帮助，导向性良好。逻辑自洽，可反向解题，解析规范。但题干表述“跑通‘焕新+’旧改模式，拓展旧改业务；投入运营‘安心家’，提升以旧换新服务效率；通过房江湖平台为合作伙伴提供创享支持、流量赋能；与开发商建立战略链接，并主动加码圣都、家装等新业务”几乎完整复述了教材中为实现战略定位而采取的具体举措，导致正确选项（ABCD）的内容在题干中已近乎全部呈现。考生仅需简单比对题干与选项文字即可锁
84,true_issue,上海-新房总监-100题-631-考试占比-验证-20260330-10#p3,sh:v20260320_021958:1:356:b09a9f19,reverse_solve_fail|missing_preconditions,False,3,某事业部计划在2024年9月组织一次外出团建活动。作为负责协调的客户经理，你需要根据公司规定，确定本次团建在单次时长上的上限（按自然日计算）。那么，本次团建的单次时长上限为（　）。,题干未明确本次团建的组织层级，而切片规则显示不同层级的单次时长上限不同（事业部5日、大区4日、分行3日），导致无法稳定判定唯一正确答案。；缺失：本次团建的组织层级（事业部/大区/分行）
85,misjudge,上海-新房总监-100题-631-考试占比-验证-20260330-10#p3,sh:v20260320_021958:2:353:e1d89390,quality_fail,False,3,新房事业部为各业务条线设置了月度常规团建费，并随薪发放。以下哪些总监的月度团建费标准为3000元（　）。,题目核心考查点（各总监团建费标准）严格基于当前知识切片，适纲性强，对经纪人掌握公司福利制度有实际帮助。反向解题成功，题干条件足以触发并唯一确定教材规则。解析格式规范、内容正确。主要问题在于干扰项D（事业部总经理）质量不佳，其错误原因过于表面（未提及、身份不符），未能有效考察考生对知识点的深入理解和易错点的辨析，降低了题目的整体质量。根据审计铁律，命中“干扰项过于幼稚，无需专业知识即可排除”的Fail条件，因此判定【审计不通过】。
86,uncertain,上海-新房总监-100题-631-考试占比-验证-20260330-10#p3,sh:v20260320_021958:4:191:ed00e371,reverse_solve_fail,False,4,王强是沪籍居民，属于多子女家庭，且本次购房处于不限购情况。家庭名下在沪无住房，且家庭名下无任何首套商业贷款在还。他与父母在2010年共同登记拥有一套住房，其配偶李娜与父母在2012年共同登记拥有两套住房。现王强家庭计划申请纯商业贷款购买一套新房，在贷款环节，其商业贷款套数应被认定为（　）。,审计不通过。核心问题在于【反向解题】失败。题干场景同时触发了当前切片（首套认定）和相似切片（二套认定）中的规则。当前切片（首套认定）规则未提及“作为主贷人且正在还款的不可剔除”这一限制。然而，相似切片（二套认定）规则中明确包含此限制：“在限购前借款人及其配偶与各自父母登记在产证上的最多各有2套可剔除，但作为主贷人且正在还款的不可剔除”。题干仅说明王强和李娜“与父母共同登记拥有”住房，但未明确他们是否“作为主贷人且正在还款”。如果王强或李
87,true_issue,上海-新房总监-100题-631-考试占比-验证-20260330-10#p3,sh:v20260320_021958:5:187:000bab13,quality_fail,False,3,在教材描述的个人住房商业性贷款流程中，银行放款之后紧接着的步骤是（　）。,题目考查点明确，答案唯一，且完全基于当前切片内容，无超纲或反向解题问题。解析符合规范。主要问题在于质量把关维度：选项B“办理不动产转移登记”在教材流程中明确位于“银行放款”之前，是放款的前提条件。题干询问“银行放款之后紧接着的步骤”，选项B与题干条件在逻辑上直接相悖，导致该干扰项过于幼稚，无需专业知识即可排除，违反了质量把关中“干扰项过于幼稚”的Fail条件。因此，quality_check_passed 为 false。
88,misjudge,上海-新房总监-100题-631-考试占比-验证-20260330-10#p3,sh:v20260320_021958:6:189:84b991c3,,True,1,客户李娜购买一套位于金山区的新房，总价400万元，属于二套房。她计划申请商业贷款，贷款成数为6成。当前5年期以上LPR为3.5%，根据相关政策，李娜此次购房的最低首付比例为（　）。,
89,misjudge,上海-新房总监-100题-631-考试占比-验证-20260330-10#p3,sh:v20260320_021958:7:193:d5c45369,,True,2,客户王明计划申请商业贷款购买一套住宅，其家庭月收入为20000元。根据征信报告，王明家庭现有车贷月供3000元，信用卡分期月供2000元。银行要求借款人家庭收入不低于负债的2倍。下列判断中正确的有（　）。,
90,true_issue,上海-新房总监-100题-631-考试占比-验证-20260330-10#p3,sh:v20260320_021958:8:221:a2395cd8,quality_fail,True,4,一套房屋的评估值为520万元，网签价为500万元，商业贷款成数为65%，公积金贷款部分额度为120万元。该组合贷款的总额度为金额（万元）（　）。,题目考查知识点“组合贷款额度确定”，内容完全来自当前切片，未超纲。题干条件充分，可依据教材公式唯一推导出答案325万元（B选项），反向解题成功。解析结构完整、与答案一致。但选项规范审计失败：选项A、B、C、D均包含单位“万元”，违反了“选项中有单位时必须将单位提到题干中”的规则。根据审计铁律，命中任意Fail条件必须判定为【审计不通过】。
91,true_issue,上海-新房总监-100题-631-考试占比-验证-20260330-10#p3,sh:v20260320_021958:10:352:e1cb7aef,reverse_solve_fail|missing_preconditions,False,3,根据上海链家2026年Q1述职管理规则，运营总经理的季度述职报告应在第一季度结束后10个工作日内提交（　）,题干陈述了一个具体的时限规则（第一季度结束后10个工作日内提交），但该时限信息未在题干或选项中给出，考生无法判断该陈述是否正确。；缺失：运营总经理季度述职报告的具体提交时限
92,true_issue,上海-新房总监-100题-631-考试占比-验证-20260330-10#p2,sh:v20260320_021958:4:40:25e8aab7,reverse_solve_fail|grounding_fail|quality_fail|explanation_fail|writer_issue,False,4,客户王明于2020年购买了一套新建商品住宅，但一直未入住。2025年，王明决定出售该房屋。根据房地产经纪业务中对房屋性质的分类规则，该房屋在2025年应属于（　）。,审计不通过。核心问题是反向解题失败：题干未提供计算房龄所需的关键条件——房屋竣工年份。根据当前切片规则，房龄自竣工之日起计算，并据此对存量住宅进行分类（次新/旧/老旧）。题干仅给出购买和出售年份，无法确定房龄，导致考生无法在A、B、D三个涉及房龄分类的选项中做出唯一确定的选择。这违反了反向解题的‘缺关键数值/条件’Fail条件。解析虽然给出了答案，但依赖了题干未提供的信息（2013年竣工），进一步说明题目本身不完整。因此，题目不能直接进
93,misjudge,上海-新房总监-100题-631-考试占比-验证-20260330-10#p2,sh:v20260320_021958:5:39:55e3cf20,,True,1,一位客户向经纪人咨询，希望购买一套房屋用于全家长期居住，并要求该房屋的产权年限尽可能长，以便未来有稳定的居住保障。根据房地产经纪业务知识，经纪人应优先推荐哪一类房地产产品（　）。,
94,uncertain,上海-新房总监-100题-631-考试占比-验证-20260330-10#p2,sh:v20260320_021958:6:209:612cfedc,reverse_solve_fail|grounding_fail|quality_fail|code_check_fail|explanation_fail|writer_issue,False,4,客户张伟，男性，今年40周岁，欲申请公积金贷款购买一套新建商品住宅。根据公积金贷款政策，按主贷人年龄计算，张伟的最高可贷年限为（　）。,审计不通过。核心问题：反向解题失败。教材规则明确要求贷款年限需同时考虑‘年龄’和‘房龄’并取孰低值。题干仅给出‘新建商品住宅’，但教材指出‘旧房改造后按新房销售方式出售的除外’，这意味着‘新建商品住宅’的房龄可能不是30年（例如，如果是旧房改造，房龄可能更短）。因此，在未明确排除房龄限制的情况下，考生无法确定‘房龄’因素下的可贷年限，从而无法应用孰低原则锁定唯一答案。可能存在多条合理推导路径：若房龄限制为30年，则答案为28年；若房龄限
95,true_issue,上海-新房总监-100题-631-考试占比-验证-20260330-10#p2,sh:v20260320_021958:8:5:3a8a62f3,reverse_solve_fail|answer_mismatch|quality_fail|writer_issue,False,3,一套二手房挂牌价为320万元，最终成交价为300万元，其价差率是百分比（　）。,题目核心计算正确，公式应用无误，且未超纲。但致命缺陷在于选项设计：选项B（6.67）和D（6.67）数值完全相同，仅通过是否带单位‘%’区分。题干设问为‘其价差率是百分比（　）’，这本身已暗示答案为带‘%’的数值，但选项B和D在数值上无法区分，导致考生无法仅凭计算逻辑锁定唯一选项。这违反了‘反向解题’原则，因为存在两条看似合理的推导路径（选B或选D），而题干并未提供区分两者的明确逻辑依据（例如，题干未明确要求‘带单位’或‘不带单位’）。
96,misjudge,上海-新房总监-100题-631-考试占比-验证-20260330-10#p2,sh:v20260320_021958:9:2:0215ee14,,True,2,依据《2017国民经济行业分类》，下列哪一项完整列出了房地产业的主要构成部分（　）。,
97,misjudge,上海-新房总监-100题-631-考试占比-验证-20260330-10#p2,sh:v20260320_021958:10:212:8226bae6,,True,1,客户王伟在上海工作，计划申请公积金贷款购买首套房。他于2024年1月开始在上海连续缴纳公积金，2024年8月准备办理贷款。王伟与其妻子在全国范围内均无正在受理或还款的公积金贷款。经纪人需要判断王伟是否符合申请条件。以下说法正确的有（　）。,
98,true_issue,上海-新房总监-100题-631-考试占比-验证-20260330-10#p2,sh:v20260320_021958:11:213:99da908a,reverse_solve_fail|quality_fail|writer_issue,False,3,客户王明家庭名下在沪无住房，全国范围内无公积金贷款记录，目前公积金未在使用。现欲购买一套位于浦东新区的公寓用于自住。根据公积金贷款政策，王明家庭可以申请公积金贷款的情形是（　）。,审计不通过。核心问题：选项C（可以申请，因为所购房屋为在沪第二套住房，且名下无正在使用的公积金）与题干明确给出的“客户王明家庭名下在沪无住房”这一事实直接矛盾。根据审计铁律（0. 适纲性/对工作有帮助/导向性）中的Fail条件：“选项与题干条件相悖：任一选项不得与题干中已明确给出的条件、前提或设定在逻辑上矛盾”。这使得C选项本身在语义上就是错误的，无法作为有效的干扰项来测试考生对“第二套住房”规则的理解和应用能力，削弱了题目的考察有效性
99,uncertain,上海-新房总监-100题-631-考试占比-验证-20260330-10#p2,sh:v20260320_021958:12:210:add53093,quality_fail|writer_issue,True,4,客户张伟家庭名下在沪无住房，全国范围内使用过1次公积金贷款且已结清。他计划在上海市嘉定区购买一套总价400万元的新建商品住宅，申请公积金贷款年限为20年。若张伟家庭符合公积金贷款申请条件，根据现行政策，其公积金贷款的最低利率为（　）。,1. **适纲性/导向性**：题目考查公积金贷款利率政策，属于当前切片“三、公积金贷款政策”的核心内容，且与经纪人实际业务（为客户计算贷款成本）高度相关，对工作有帮助。 2. **地理与范围审计**：题干明确为“上海市嘉定区”，与教材（上海政策）一致。 3. **逻辑自洽性**：题干条件（在沪无房、全国使用过1次公积金贷款已结清）根据套数认定规则应判定为首套，进而适用首套利率。逻辑链条完整自洽。 4. **反向解题**：题干已给出所有关
100,true_issue,上海-新房总监-100题-631-考试占比-验证-20260330-10#p2,sh:v20260320_021958:13:210:be1787ee,reverse_solve_fail|missing_preconditions,False,4,客户王明已婚，家庭名下在沪已有一套住房，现计划通过公积金贷款购买位于浦东新区的一套新建商品住宅作为第二套住房。根据公积金贷款政策，王明家庭购买此房的最低首付比例为（　）。,题干未明确所购房屋是否位于享受特殊政策的区域，导致无法在20%和25%之间稳定判定唯一正确项。；缺失：该新建商品住宅是否位于临港新片区或嘉定、青浦、松江、奉贤、宝山、金山6个行政区全域
