考点,预期片段
契税额度计算（掌握）-需要内化,"对存量房契税的计算，可总结如下表：
契税计算总结
购买人
用途
套数
建筑面积
计算公式
个人
住宅
首套
≤140㎡
计税核定价×1%
＞140㎡
计税核定价×1.5%
二套
≤140㎡
计税核定价×1%
＞140㎡
计税核定价×2%
三套及以上
无论面积多大
计税核定价×3%
公司
住宅
无论套数
无论面积多大
计税核定价×3%
个人
非住宅
无论套数
无论面积多大
计税核定价×3%
【例】客户李佳泽，已婚，吉安户籍，名下已有两套位于吉州区的住宅。现欲购买杨丽名下位于青原区上江界满5年唯一的普通住宅，建筑面积为110㎡，网签价为80万元，税务核定价为75万元，请计算李佳泽购买杨丽名下住宅时需要缴纳的契税。
【解】1.李佳泽名下已有两套住宅，再购买属于三套；因此适用税率为3%；"
低层住宅、多层住宅、高层住宅和超高层住宅（掌握）,"依据《民用建筑设计统一标准》，按建筑高度分类，地上建筑高度不超过27米的，为低层或多层住宅；超过27米且低于100米的，为高层住宅；超过100米的，为超高层住宅。按层数划分时，1~3层为低层住宅，4~9层为多层住宅，10层及以上为高层住宅（概括如下表）。这里的层数是指建筑的地上实际总层数，而不是为了回避特定数字的标示层数。
类型
低层住宅
多层住宅
高层住宅
超高层住宅
层数
1～3
4～9
≥ 10
——
地上建筑高度
≤ 27米
27米 < x ≤ 100米
> 100米
在实践中，对于高层住宅楼，根据特定房屋所在层数在其建筑中的相对位置，也分为高楼层住宅、中楼层住宅、低楼层住宅，但没有统一判定标准。高楼层住宅的优点是采光好、视野好、灰尘少、噪音小、不易潮湿。低楼层住宅的优点是出入方便、不太担心电梯故障、灾害发生时易逃生。老年人和行动不便人士一般适宜选择低楼层。"
对经纪人好（熟悉）,格林互助计划前身是链家集团互助金，成立于2008年10月。格林互助作为社会保障之外的有益补充，旨在当会员及其家属遭受疾病、意外等情形时，给予一定的资金帮助，和伙伴们一起共渡难关。截至2025年7月，格林互助累计救助超5万人次，总救助金额超7亿元。
个人所得税税额计算（掌握）-需要内化,"个人所得税计算总结（以住宅为例）
交易房屋情况
征收情况
税率
计算方式
满五年唯一
免征
—
免征个人所得税
无法追溯到购房原值
全额征收
1%
网签价格≥核定价格÷1.05：（网签价格-本次增值税）×1%
网签价格＜核定价格÷1.05：核定价格÷1.05×1%
有原值且能提供原始契税票据
差额
征收
20%
网签价格≥核定价格÷1.05：（网签价格-本次增值税及附加-原值-原契税-网签价格×10%-贷款利息）×20%
网签价格＜核定价格÷1.05：（核定价格/1.05-本次附加税-原值-原契税-核定价格×10%-贷款利息）×20%
【例】冯烈，48周岁，已婚，分别在西城区和朝阳区有住宅，现欲出售名下位于西城区的商品房，是冯烈在2012年贷款购买，建筑面积124㎡，原值420万，原契税63000元，出售时网签价为630万元，核定价格为550万元，请计算冯烈在出售该套住宅时需要缴纳的个人所得税。
【解】1.本次需缴纳增值税及附加金额为（630-420）÷1.05×5.3%=10.6（万元）；"
新房作业术语（熟悉）,城市新房为开发商提供渠道服务，开发商需向贝壳支付一定金额的结佣保证金（即预付佣金）以担保佣金及时支付，达到一定条件后转化为佣金回款，缩短回佣周期，较大程度提高经纪人的积极性，实现项目聚焦和快速去化。
一二手联动作业工具（掌握）-需要核实,在一二手过程中，经纪人可以借助系统功能，深入挖掘库存客户与新房楼盘的匹配情况。新房潜客工具专为经纪人和门店管理者设计，旨在作业新房时实现精准客户识别，并为客户高效配盘。当前根据客类型分为三类：新房好客、二推一潜客、业主潜客。
新房带看（掌握）-需要核实,在新房业务中，带看是指经纪人带客户到项目售楼处听取销售讲解，查看样板间，确认交付标准，以及实地勘察项目工地区位和配套设施（包括已规划待施工、正在施工的配套及已投入使用的配套建筑）。此处着重说明与存量房带看的差异点和需要重点关注的内容。
贝壳的使命（掌握）,有尊严的服务者，更美好的居住。
房源聚焦产品（熟悉）-需要核实,为了鼓励大家多聚焦，增加聚焦效果和提升房源去化率，商圈聚焦房享有专属权益，包括但不限于业主告知书、点点通免费用、必看好房流量倾斜、维护人固定黄金展位和维护助手打折。
真房源录入标准（掌握）-需要核实,经纪人在合规获取房源委托信息后，必须在1小时内将委托类型、委托来源、物业地址、业主姓名、联系方式等信息录入内网作业系统。在录入内网作业系统前，不得进行任何房源推广、带看、收定金等业务动作。
婚姻关系证明（掌握）-需要核实,"提供书面的未婚声明。
提供结婚证；如结婚证丢失，应补办结婚证，且不能改变结婚登记日期。
①在民政部门协议离婚的，提供离婚证与离婚协议书；②经法院判决或调解离婚，一审判决离婚的，提供判决书及生效证明；二审判决离婚的，提供判决书；调解离婚的，提供民事调解书。
户口本（婚姻状态栏为丧偶）、配偶的死亡证明（户口本婚姻状态未更新为丧偶时）。
需注意，当实际婚姻状况与户口本上婚姻状况不一致时，应变更一致，才能办理后续的贷款、缴税、权属转移登记等手续。"
商业贷款政策（掌握）-需要内化,"套数认定
最低首付比例
利率
贷款年限
首套及二套
15%
LPR-25BP
最长为30年"
个人住房商业贷款的还款方式（掌握）,"个人住房贷款一般采取按月还款方式，因此分期还款额通常为月还款额，俗称“月供”，包括本金部分和相应的利息。常见还款方式分为等额本息和等额本金两种。
差异
等额本息
等额本金
本金和利息"
商业贷款政策（掌握）-需要核实,"套数认定
最低首付比例
利率
贷款年限
首套及二套
15%
LPR-25BP
最长为30年"
首看保护（掌握）-需要核实,首看保护，是针对首看行为的保护规则。首看保护需满足三个条件，保护生效：①客户购房目的一致的同组客户；②首看与成交房源一致；③成交时间在首看保护期内（首看保护期X天）。满足以上条件，首看成立，成交人需要归还首看人首看业绩，即客源端总业绩的40%。当成交人构成业绩侵占时，还会涉及3分信用分扣罚。
设备层（熟悉）,设备层是指建筑物中专为设置给排水、电气、供暖、通风、空调等设备和管道且供人员进入操作的空间层。建筑高度在30米以下的建筑，设备层通常设在地下室或顶层、屋顶。当建筑物层数较多时，设备层通常设在建筑物中间的某一层。由于设施设备在运行中会产生声音、振动等，如果隔声、减振措施不好，靠近设备层的房间容易受噪声、振动的影响。
建筑面积及其组成（掌握）,对于成套房屋，建筑面积=套内建筑面积+公摊面积。
层高与室内净高（掌握）,层高是指上下两层楼面或楼面与地面之间的垂直距离；室内净高是指楼面或地面至上部楼板底面或吊顶底面之间的垂直距离（具体见下图）。室内净高=层高-楼板厚度。2012年实施的《住宅设计规范》规定，住宅层高宜为2.8米，卧室、起居室的室内净高不低于2.4米，厨房、卫生间的室内净高不低于2.2米。
办理房源出售委托（掌握）,办理房源出售委托，需要委托人至少提供该房屋权属证明、业主身份证明，并签署书面委托协议，简称“两证一书”。特殊情况的出售委托如代理、共有等，还应配合提交其他证件；若房源委托环节不能全部提供，需在合同签约前将全部证件准备齐全。
委托代理的终止（掌握）,有下列情形之一的，委托代理终止：①代理期限届满或者代理事务完成；②被代理人取消委托或者代理人辞去委托；③代理人丧失民事行为能力；④代理人或者被代理人死亡；⑤作为代理人或者被代理人的法人、非法人组织终止。被代理人死亡后，有下列情形之一的，委托代理人实施的代理行为有效：①代理人不知道并且不应当知道被代理人死亡；②被代理人的继承人予以承认；③授权中明确代理权在代理事务完成时终止；④被代理人死亡前已经实施，为了被代理人的继承人的利益继续代理。
经纪人能否承诺交易房屋为学区房（熟悉）-需要核实,不能。不同地区、不同学校的学区房条件各不相同，入学条件也非一成不变，交易房屋的学区名额是否被占用等情况，应由出卖人承诺，经纪人不能在《房屋买卖合同》中进行承诺。
资金存管的意义（熟悉）,规避交易风险，规避纠纷处理，规避部分导致合同无效、解除、违约及投诉的隐患，建立健康安全的交易环境。
组合贷款流程（掌握）-需要核实,签署房屋买卖合同网签→评估→公积金面签+初审→公积金审批+银行面签→商贷审批→签署借款合同→资金监管→赎楼（有抵押情况）→预约转移登记→过户→缴税→出新证及不动产登记证明→发放资金监管首期款→放款。
契税免征或者减征的常见情形（掌握）-需要核实,"再买房需要缴纳的契税=（购房时网签价-购房时增值税-拆迁补偿价格）×购房时契税税率；若购房时网签价低于拆迁补偿价格，则契税全免，差额部分可以继续使用。
【例】李永和是北京房山人，名下无房，去年12月因房屋拆迁获得了300万元的拆迁补偿款，现用该笔款项购买一套位于丰台区三环内的99㎡的普通住宅，该住宅产权登记日期是2016年3月1日，网签价450万元，请计算李永和购买该套住宅的契税。
【解】1.李永和购买住宅满二且为普通住宅，可免征增值税及附加；"
物业交割流程（熟悉）-需要核实,点击“物业交割”后进入物业交割环节，一共七步，依次为：基础信息→装修信息→房屋漏水→物品清单→费用信息→资金信息→其他约定。需跟着页面提示，一步一步完成交割。
守文化，促增长（了解）,促增长主要包括行指（行业指数）增长、规模增长、效率增长和新赛道增长四个方向。其中，行指管理是链家走向成功的关键因素，也是贝壳驱动收入增长、提升管理能力的核心手段。二手及新房行指奇妙等式如下：
建筑结构分类（熟悉）,建筑结构是建筑物中由承重构件（如基础、墙体、柱、梁、楼板、屋架）组成的体系。根据建筑结构，建筑物主要分为4类：
得房率（掌握）,"同一套住宅的建筑面积＞套内建筑面积＞套内使用面积。交易中一般按照建筑面积计价，但建筑面积不直观，难以复核；套内使用面积最直观，一般人能测出来。
得房率=套内使用面积÷建筑面积×100%
通常得房率越大，面积利用率越高，也就越实惠；但如果过大，则可能牺牲了必要的公共面积，例如过道太窄，反而让人觉得不舒适。得房率一般在70%～80%。"
识别购房急迫性（熟悉）,"最近一定时期（如1个月）客户与经纪人累计咨询量越大，急迫性越强。
上述指标需综合分析，若某客户的上述指标同向的越多，代表购房急迫性越强。对于购房急迫度高、购房实力和需求相匹配的客户，经纪人应紧密跟进，例如，及时推荐房源、反馈同户型成交情况、安抚急迫购房情绪、及时了解最新动态等。但若一个经纪人已有多个此类客户，建议与门店其他经纪人合作，以免难以分配自己的精力，导致优质客户流失。"
“真带看”标准（了解）,指客户真实、带看行为真实、带看信息录入正确。
夫妻共同财产（了解）,夫妻在婚姻关系存续期间所得的下列财产，为夫妻的共同财产，归夫妻共同所有：①工资、奖金、劳务报酬；②生产、经营、投资的收益；③知识产权的收益；④继承或者受赠的财产，但是遗嘱或者赠与合同中确定只归一方的财产除外；⑤其他应当归共同所有的财产，例如一方以个人财产投资取得的收益，双方实际取得或者应当取得的住房补贴、住房公积金、养老保险金、破产安置补偿费等。
交易房屋已出租（掌握）,有下列情形之一，承租人主张优先购买房屋的，人民法院不予支持：①房屋共有人行使优先购买权的；②出租人将房屋出卖给近亲属，包括配偶、父母、子女、兄弟姐妹、祖父母、外祖父母、孙子女、外孙子女的；③出租人委托拍卖人拍卖租赁房屋的，在拍卖5日前通知承租人，承租人未参加拍卖的；④出租人履行通知义务后，承租人在15日内未明确表示购买的；⑤第三人善意购买租赁房屋并已经办理登记手续的。
抵押登记注意事项（熟悉）-需要核实,不可以办理转移登记（抵押权人同意带押过户的除外）；
违规行为记录规则（熟悉）,对违规行为，记录发生时间、判罚时间、行为人、违规行为名称、所在组织上级等。
承重墙和非承重墙（掌握）,墙体根据受力情况，分为承重墙和非承重墙。承重墙不能拆改，否则会影响建筑结构安全。两者主要区分方法有：
交易资金的类型（掌握）-需要核实,"在签署房屋买卖合同时，经纪人应建议买方向卖方支付一笔定金，以约束双方继续履行合同。定金数额由买卖双方协商约定，可以一次支付，也可以分笔支付。但法律规定，定金不得超过房屋成交总价的20%。
为了防范交易风险，公司要求，对于交易房屋没有抵押，或只有一个抵押且抵押权人为银行、公积金中心或住房贷款担保中心的情况下，定金最高不得超过100万元。如交易房屋有≥2个抵押，或只有一个抵押但抵押权人非银行、公积金中心或住房贷款担保中心，则定金最高不得超过50万元。定金自行转账支付最多10万元，超过10万元部分需要通过资金存管支付。
【例】客户罗成购买业主李玉一套住宅，双方谈定成交价320万元，网签价300万元。该住宅有一个抵押，且抵押权人为某典当公司。为防范风险，请计算最高定金金额。
【解】1.按照定金不超过成交价20%计算定金金额：320×20%=64（万元）"
契税额度计算（掌握）-需要核实,"对存量房契税的计算，可总结如下表：
契税计算总结
购买人
用途
套数
建筑面积
计算公式
个人
住宅
首套
≤140㎡
计税核定价×1%
＞140㎡
计税核定价×1.5%
二套
≤140㎡
计税核定价×1%
＞140㎡
计税核定价×2%
三套及以上
无论面积多大
计税核定价×3%
公司
住宅
无论套数
无论面积多大
计税核定价×3%
个人
非住宅
无论套数
无论面积多大
计税核定价×3%
【例】客户李佳泽，已婚，吉安户籍，名下已有两套位于吉州区的住宅。现欲购买杨丽名下位于青原区上江界满5年唯一的普通住宅，建筑面积为110㎡，网签价为80万元，税务核定价为75万元，请计算李佳泽购买杨丽名下住宅时需要缴纳的契税。
【解】1.李佳泽名下已有两套住宅，再购买属于三套；因此适用税率为3%；"
作业中合规处理个人信息的方式（了解）,不查看、不留存、不分享、不外传客户个人信息；
权属转移登记缴费（熟悉）-需要核实,"买方。
【例】客户康静购买了一套住宅和一个车位，则在办理住宅与车位的权属转移登记时，请计算康静需要缴纳的不动产登记费用。
【解】对申请办理车库、车位、储藏室不动产登记，单独核发不动产权属证书或登记证明的，不动产登记费由原非住宅类不动产登记每件550元，减按住宅类不动产登记每件80元收取。因此需要缴纳的不动产登记费用为：80+80=160（元）"
报备注意事项（掌握）,新房驻场会在接到经纪人报备信息后与开发商进行客户核对，核对完成后会对经纪人发出的报备请求做出“通过”或“驳回”的操作。报备通过后系统会给出可以带看的时间提示，经纪人根据该时间带客户到访即可。如报备被驳回，经纪人一定要关注驳回原因，并做出重新提交或更换带看项目等动作。
贝壳核心价值观（掌握）,对客户好，帮助服务者对客户好。
合同签署注意事项（掌握）-需要核实,根据《电子签名法》第13条、第14条，以及《民法典》第469条，可靠的电子签名与手写签名或者盖章具有相同的法律效力。
市属公积金贷款面签备件（熟悉）-需要内化,"需要客户本人到场
成年已婚
夫妻双方身份证和户口本(婚姻状况栏为已婚)、结婚证、公积金龙卡、公积金查询单、《天津市存量房屋买卖协议》、征信报告
以上均为夫妻双方的备件，需要夫妻双方同时到场"
客源录入规则（掌握）,应录入真实准确的“委托来源”，其他信息内容须在知晓前提下录入准确，若发生信息变更时应及时修改。
带看前准备（掌握）,"房的准备是带看前准备中最重要的，是带看效率及带看满意度提升的关键。
首先，经纪人要对房源足够熟悉。只有实际看过房子，自己对房子的印象才会深刻，给客户推荐房源时，才会更加有的放矢。如果未曾看过房，则空看是接触客户前的必要准备。针对房，需要熟悉以下内容："
贝壳战略（了解）,2023年贝壳将战略升级为“一体三翼”，提出“翻越第二座山”，希望成为科技驱动的一站式新居住服务平台，帮消费者安居，助服务者乐业，构建和谐生态，推动行业进步，迈向美好组织。房产经纪作为“一体”，以ACN为基石，让房屋交易不再难。三翼分别为：
平层住宅、错层住宅、复式住宅和跃层住宅（熟悉）,"平层住宅、错层住宅、复式住宅和跃层住宅的核心定义及典型场景可总结如下表。
空间类型
核心定义
典型场景
平层
各个功能空间均在同一平面
普通住宅、公寓
错层
同一套内空间存在高度差，未完全分层
客厅抬高、卧室下沉设计
复式
层高较高，局部设夹层
小户型公寓、LOFT
跃层
套内空间跨越两个自然楼层，设内部楼梯连接
别墅、高端大平层
因复式住宅的上层是夹层，而跃层住宅是完整的两层，所以复式住宅总层高低于跃层住宅总层高。跃层住宅面积按对应两层面积之和计算；平层住宅、错层住宅面积按单层面积计算；复式住宅面积计算规则并不统一，需根据城市政策。"
容积率（掌握）,"容积率一般指一定用地范围内地上建筑总面积与用地总面积的比值，是反映居住密度和环境质量的重要指标。对于住宅使用人来说，容积率越小越好。住宅小区的容积率通常为2~2.5，容积率在1.5以下的住宅，可视为低密度住宅。
容积率=地上建筑总面积÷用地总面积"
识别业主售房急迫性（熟悉）,"卖方售房的原因有很多种，但先买后卖的换房卖方，即将出国或到外地的卖方，急需变现还债的卖方，往往比较着急出售。
若通过分析某房源的上述指标，发现同向的指标越多，代表卖方急迫程度的可信度越高。"
